/usr/lib/jvm/java-21-openjdk-amd64/bin/java -javaagent:/snap/intellij-idea-community/631/lib/idea_rt.jar=38167 -Dfile.encoding=UTF-8 -Dsun.stdout.encoding=UTF-8 -Dsun.stderr.encoding=UTF-8 -classpath /home/albert/MyProjects/Sandbox/rentingCarTest/rentingCar/target/classes:/home/albert/.m2/repository/com/github/javafaker/javafaker/1.0.2/javafaker-1.0.2.jar:/home/albert/.m2/repository/org/apache/commons/commons-lang3/3.5/commons-lang3-3.5.jar:/home/albert/.m2/repository/org/yaml/snakeyaml/1.23/snakeyaml-1.23-android.jar:/home/albert/.m2/repository/com/github/mifmif/generex/1.0.2/generex-1.0.2.jar:/home/albert/.m2/repository/dk/brics/automaton/automaton/1.11-8/automaton-1.11-8.jar org.example.App
Starting code...


This is my list of cars: 
-------------------------
The list has 100 cars


	Car{id='9', brand='Kiehn-Gutmann', model='null', plate='null', year=1999, price=0.0}
	Car{id='457302', brand='Willms Group', model='null', plate='null', year=2004, price=0.0}
	Car{id='7', brand='Altenwerth LLC', model='null', plate='null', year=2001, price=0.0}
	Car{id='734270604', brand='Bailey-Koelpin', model='null', plate='null', year=2017, price=0.0}
	Car{id='4', brand='Pfannerstill Group', model='null', plate='null', year=2004, price=0.0}
	Car{id='482', brand='Donnelly Group', model='null', plate='null', year=2009, price=0.0}
	Car{id='980496', brand='Weissnat, Lang and Schroeder', model='null', plate='null', year=1989, price=0.0}
	Car{id='75', brand='Murazik, Blanda and Beatty', model='null', plate='null', year=2014, price=0.0}
	Car{id='1711332', brand='Mosciski, Littel and Hirthe', model='null', plate='null', year=1984, price=0.0}
	Car{id='841859', brand='Hagenes-Ondricka', model='null', plate='null', year=2000, price=0.0}
	Car{id='875941902', brand='Weimann Group', model='null', plate='null', year=1994, price=0.0}
	Car{id='1234', brand='O'Keefe Inc', model='null', plate='null', year=2001, price=0.0}
	Car{id='0', brand='Bartell, Douglas and Labadie', model='null', plate='null', year=1987, price=0.0}
	Car{id='922214546', brand='Altenwerth and Sons', model='null', plate='null', year=1997, price=0.0}
	Car{id='108401', brand='Ward, Hilpert and Reynolds', model='null', plate='null', year=2015, price=0.0}
	Car{id='1118', brand='Ryan Inc', model='null', plate='null', year=1997, price=0.0}
	Car{id='5483', brand='Haag-McLaughlin', model='null', plate='null', year=1982, price=0.0}
	Car{id='338027', brand='Kub LLC', model='null', plate='null', year=2008, price=0.0}
	Car{id='1212', brand='McLaughlin, Cummings and Zemlak', model='null', plate='null', year=1992, price=0.0}
	Car{id='4992', brand='Stark, Predovic and Donnelly', model='null', plate='null', year=2013, price=0.0}
	Car{id='8314', brand='Rowe, Farrell and Langworth', model='null', plate='null', year=2001, price=0.0}
	Car{id='93', brand='Kuphal-Cassin', model='null', plate='null', year=2005, price=0.0}
	Car{id='23239712', brand='Little Group', model='null', plate='null', year=1993, price=0.0}
	Car{id='71251', brand='Marks, Lockman and Bergstrom', model='null', plate='null', year=2007, price=0.0}
	Car{id='2', brand='Lockman LLC', model='null', plate='null', year=2000, price=0.0}
